timestamp,b1_kecepatan_arus,b1_arah_arus,b1_wave_intensity,b2_kecepatan_arus,b2_arah_arus,b2_wave_intensity,b3_kecepatan_arus,b3_arah_arus,b3_wave_intensity,label
2026-04-01 08:06:25,0.542,167.9,4.4861,0.8064,258.5,3.9377,0.8004,241.17,2.4541,Danger
2026-04-01 08:06:30,0.6032,207.31,5.1192,0.5318,211.44,4.9824,0.3849,263.44,5.1238,Danger
2026-04-01 08:06:35,0.4901,75.66,3.1616,1.0857,170.27,3.8932,0.3874,122.11,3.7504,Danger
2026-04-01 08:06:40,0.3495,87.32,1.247,0.7724,173.12,1.8805,0.3,128.7,1.1428,Danger
2026-04-01 08:06:45,1.3653,276.83,4.5738,1.13,267.89,2.9637,1.192,192.41,6.3265,Danger
2026-04-01 08:06:50,0.2311,260.1,0.3644,0.1997,291.36,0.7749,0.1567,242.09,0.5912,Safe
2026-04-01 08:06:55,0.3,272.62,1.4518,0.6713,200.13,2.6855,0.3,269.54,1.0948,Danger
2026-04-01 08:07:00,0.3266,89.64,3.3646,1.0569,173.2,5.3626,0.3029,84.83,3.7684,Danger
2026-04-01 08:07:05,0.2414,285.18,0.821,0.1541,279.03,0.9047,0.2123,248.5,0.7877,Safe
2026-04-01 08:07:10,0.3286,66.9,3.2508,0.8499,188.32,3.1719,0.3,42.83,2.9626,Danger
2026-04-01 08:07:15,0.0566,66.84,0.7819,0.0351,77.63,0.1486,0.07,49.32,0.5197,Safe
2026-04-01 08:07:20,0.7313,27.78,3.4043,0.7188,329.9,4.0171,0.7197,30.01,5.6718,Danger
2026-04-01 08:07:25,0.9155,21.51,4.6651,0.8539,76.66,3.1484,1.0683,39.6,3.0194,Danger
2026-04-01 08:07:30,0.2129,119.24,0.5952,0.1974,98.97,0.7243,0.2382,109.24,0.3796,Safe
2026-04-01 08:07:35,0.1113,75.45,0.8106,0.1067,65.59,0.5064,0.1354,81.43,0.5581,Safe
2026-04-01 08:07:40,0.3363,274.03,0.8937,0.9703,178.92,2.8084,0.3244,242.94,1.1205,Danger
2026-04-01 08:07:45,0.0975,76.56,0.8187,0.1548,115.11,0.1744,0.1208,78.74,0.8902,Safe
2026-04-01 08:07:50,0.3,246.65,1.447,0.7494,206.4,2.2015,0.3,271.3,1.5019,Danger
2026-04-01 08:07:55,0.2517,303.34,0.8506,0.2908,285.12,0.5122,0.2137,271.74,0.4741,Safe
2026-04-01 08:08:00,0.3,228.36,1.0957,1.1135,189.78,1.8448,0.3,232.57,1.1573,Danger
2026-04-01 08:08:05,0.6574,345.97,4.3155,0.4944,44.61,3.7654,0.5801,350.7,3.3639,Danger
2026-04-01 08:08:10,0.1319,269.99,0.4926,0.0981,259.02,0.5586,0.078,295.39,0.6621,Safe
2026-04-01 08:08:15,0.9354,304.59,3.5112,1.2154,317.93,5.2831,0.9867,238.74,4.7129,Danger
2026-04-01 08:08:20,0.3,233.33,1.5807,0.8056,162.92,1.8501,0.3,279.87,1.8834,Danger
2026-04-01 08:08:25,0.1239,60.43,0.5545,0.1037,112.88,0.545,0.2153,96.77,0.2462,Safe
2026-04-01 08:08:30,0.1525,262.88,0.479,0.1052,302.96,0.6351,0.1307,271.37,0.9694,Safe
2026-04-01 08:08:35,0.3,96.51,1.5253,0.8332,187.9,1.4987,0.3067,73.05,1.1594,Danger
2026-04-01 08:08:40,0.1044,289.55,0.6977,0.0649,267.66,0.9125,0.082,282.32,0.237,Safe
2026-04-01 08:08:45,0.0616,276.87,0.4923,0.057,271.18,0.7169,0.0757,256.08,0.3668,Safe
2026-04-01 08:08:50,0.3755,71.97,0.8667,1.2484,192.36,2.5089,0.3341,92.52,1.7305,Danger
2026-04-01 08:08:55,0.0234,55.84,0.7896,0.1127,142.75,0.4364,0.1349,107.86,0.8879,Safe
2026-04-01 08:09:00,0.2331,92.45,0.2865,0.2519,100.87,0.1294,0.1693,90.98,0.9468,Safe
2026-04-01 08:09:05,0.3,118.45,0.9344,0.9845,176.23,2.8282,0.3742,101.84,0.6979,Danger
2026-04-01 08:09:10,0.3416,281.99,1.3615,1.2107,180.91,2.835,0.4095,267.37,1.5646,Danger
2026-04-01 08:09:15,0.1968,91.29,0.3784,0.2349,101.8,0.3295,0.2127,84.87,0.6866,Safe
2026-04-01 08:09:20,0.3,264.55,2.5137,0.7661,167.87,2.8806,0.3,273.64,3.7779,Danger
2026-04-01 08:09:25,0.3,310.34,1.2466,0.9316,188.14,1.5811,0.3,273.24,1.934,Danger
2026-04-01 08:09:30,0.0907,80.87,0.4282,0.1764,115.69,0.6092,0.1235,110.88,0.0851,Safe
2026-04-01 08:09:35,0.3448,88.53,1.2394,0.9767,182.97,2.3633,0.3,77.47,1.1416,Danger
2026-04-01 08:09:40,0.1028,290.21,0.6798,0.1457,260.35,0.3771,0.1445,273.28,0.1595,Safe
2026-04-01 08:09:45,0.2329,247.95,0.2359,0.2112,273.69,0.1844,0.1606,287.78,0.3178,Safe
2026-04-01 08:09:50,0.1707,295.41,0.0559,0.2081,254.64,0.5634,0.1916,264.62,0.8504,Safe
2026-04-01 08:09:55,0.5301,218.21,3.4384,1.4587,184.27,2.6639,0.4901,203.88,3.9955,Danger
2026-04-01 08:10:00,0.454,122.99,1.138,1.2439,171.22,1.8217,0.4207,68.53,1.4779,Danger
2026-04-01 08:10:05,0.1903,287.57,0.05,0.1639,250.34,0.4073,0.1788,292.29,0.279,Safe
2026-04-01 08:10:10,0.1641,107.38,0.6573,0.1437,61.21,0.262,0.1601,129.96,0.7395,Safe
2026-04-01 08:10:15,0.4203,74.41,1.9772,1.1224,203.51,2.8443,0.367,84.31,1.9859,Danger
2026-04-01 08:10:20,0.0663,249.43,0.8525,0.1306,263.95,0.3434,0.0737,289.15,0.6328,Safe
2026-04-01 08:10:25,0.3138,56.55,1.3039,0.8419,205.02,2.4905,0.3,99.57,1.9492,Danger
2026-04-01 08:10:30,0.5162,75.49,4.0394,0.7452,82.73,4.1683,0.6477,56.95,3.3226,Danger
2026-04-01 08:10:35,0.1347,234.57,0.05,0.0395,276.85,0.8948,0.1053,247.35,0.3797,Safe
2026-04-01 08:10:40,0.2641,112.47,0.8898,0.227,103.54,0.6373,0.253,93.86,0.3426,Safe
2026-04-01 08:10:45,0.0917,112.11,0.4049,0.0514,108.13,0.0683,0.0704,92.06,0.3981,Safe
2026-04-01 08:10:50,0.8112,277.38,5.0956,1.0141,59.63,4.2291,0.8917,308.13,4.0286,Danger
2026-04-01 08:10:55,0.1268,117.5,0.3791,0.0332,103.55,0.4958,0.1119,102.14,0.6256,Safe
2026-04-01 08:11:00,0.4029,216.4,2.8699,1.1885,178.22,3.1281,0.3089,256.05,3.7109,Danger
2026-04-01 08:11:05,0.8475,24.68,5.3626,1.1145,3.76,3.4032,1.0697,14.81,4.0195,Danger
2026-04-01 08:11:10,0.1532,245.49,0.198,0.1788,272.7,0.3157,0.1559,269.63,0.5229,Safe
2026-04-01 08:11:15,0.1643,264.14,0.8197,0.1918,256.65,0.7202,0.1926,285.09,0.4478,Safe
2026-04-01 08:11:20,0.103,273.3,0.096,0.0555,297.19,0.6207,0.0908,265.22,0.2768,Safe
2026-04-01 08:11:25,0.5734,292.06,2.5359,1.2379,179.5,2.4978,0.4131,270.96,3.1167,Danger
2026-04-01 08:11:30,0.2078,76.55,0.7058,0.1411,95.2,0.4899,0.1432,58.46,0.1739,Safe
2026-04-01 08:11:35,0.6278,226.58,3.1959,0.9111,195.13,2.7865,0.711,251.96,3.2485,Danger
2026-04-01 08:11:40,0.3,290.5,1.6888,0.7186,195.16,2.643,0.3,273.45,0.9986,Danger
2026-04-01 08:11:45,0.1097,97.81,0.4713,0.1282,63.88,0.4412,0.0923,126.26,0.3808,Safe
2026-04-01 08:11:50,0.3,85.75,1.3045,0.6666,194.2,2.4425,0.3,98.58,1.0994,Danger
2026-04-01 08:11:55,0.3,266.06,1.3837,0.4571,176.87,1.7583,0.3,314.34,1.144,Danger
2026-04-01 08:12:00,0.3,106.61,1.2267,0.6432,174.53,1.9151,0.3,91.61,1.1924,Danger
2026-04-01 08:12:05,0.2056,292.56,0.8637,0.2133,279.73,0.3305,0.2069,264.62,0.1912,Safe
2026-04-01 08:12:10,0.3,250.83,0.5,0.4761,175.43,3.072,0.3,258.25,1.6753,Danger
2026-04-01 08:12:15,0.3,129.2,1.3775,0.6176,181.23,1.8693,0.3,65.77,1.2201,Danger
2026-04-01 08:12:20,0.4285,275.98,0.7283,1.3644,179.29,2.6141,0.3571,263.67,1.0648,Danger
2026-04-01 08:12:25,0.0815,278.36,0.05,0.0974,270.52,0.05,0.1125,235.3,0.2868,Safe
2026-04-01 08:12:30,0.3,283.71,1.376,1.0664,167.11,2.4939,0.3,246.79,1.8212,Danger
2026-04-01 08:12:35,0.5001,233.75,3.7459,1.7406,178.96,3.6876,0.5128,300.75,3.4593,Danger
2026-04-01 08:12:40,0.146,86.09,0.6911,0.1438,75.94,0.4196,0.1326,107.33,0.1699,Safe
2026-04-01 08:12:45,1.1155,127.9,3.9162,0.9641,217.9,5.7676,1.0647,222.46,4.1401,Danger
2026-04-01 08:12:50,0.2081,111.08,0.7747,0.2446,102.62,0.05,0.1801,77.33,0.5534,Safe
2026-04-01 08:12:55,0.3707,104.19,1.3758,1.0459,192.53,2.1078,0.3071,60.97,1.6196,Danger
2026-04-01 08:13:00,0.2179,270.8,0.8524,0.2517,278.41,0.5026,0.2667,263.94,0.6749,Safe
2026-04-01 08:13:05,0.5265,96.38,5.8054,1.4845,194.22,2.411,0.5015,113.59,3.1901,Danger
2026-04-01 08:13:10,0.7071,195.06,4.0904,0.638,106.45,3.5355,0.6884,281.17,5.6821,Danger
2026-04-01 08:13:15,0.4399,267.59,2.6266,1.2002,169.48,4.1815,0.447,247.79,4.0625,Danger
2026-04-01 08:13:20,0.81,290.85,3.2796,0.9208,17.52,4.2187,1.0488,331.25,4.6482,Danger
2026-04-01 08:13:25,0.3,225.58,0.83,0.8531,179.04,1.8769,0.3,234.73,1.3722,Danger
2026-04-01 08:13:30,0.0892,261.77,0.2012,0.1861,256.17,0.6942,0.1487,290.9,0.1108,Safe
2026-04-01 08:13:35,0.1174,271.05,0.7433,0.1052,271.54,0.6974,0.1751,281.86,1.0977,Safe
2026-04-01 08:13:40,0.4836,76.18,4.1725,1.5335,162.52,3.2916,0.6554,80.57,2.8302,Danger
2026-04-01 08:13:45,0.2321,74.08,0.5125,0.273,64.16,0.5228,0.3202,83.91,0.333,Safe
2026-04-01 08:13:50,0.1835,96.87,0.4592,0.0549,82.47,0.4903,0.2049,75.9,0.8184,Safe
2026-04-01 08:13:55,0.8731,156.8,5.9841,0.7742,145.78,3.3301,0.8009,185.47,3.7763,Danger
2026-04-01 08:14:00,0.5746,94.94,5.4179,0.5331,316.9,3.4348,0.4635,19.45,5.3045,Danger
2026-04-01 08:14:05,0.1722,291.4,0.5307,0.1618,241.14,0.2951,0.1941,236.01,0.95,Safe
2026-04-01 08:14:10,0.3,91.22,0.7564,0.5277,174.63,2.1746,0.3,94.18,1.6564,Danger
2026-04-01 08:14:15,0.3927,89.21,3.867,1.3094,190.23,3.694,0.4899,92.36,3.2966,Danger
2026-04-01 08:14:20,1.2691,5.22,5.0063,1.1859,6.36,3.1994,1.2911,358.75,3.2213,Danger
2026-04-01 08:14:25,0.1019,101.4,0.285,0.1816,83.52,0.757,0.1419,46.05,0.6607,Safe
2026-04-01 08:14:30,0.3,268.57,1.5164,0.4986,192.14,2.0931,0.3,267.18,1.419,Danger
2026-04-01 08:14:35,0.0539,265.53,0.5468,0.0913,269.61,0.8254,0.0652,228.9,0.3945,Safe
2026-04-01 08:14:40,0.3,244.91,1.2013,0.6135,165.86,1.8353,0.3,275.02,1.8138,Danger
2026-04-01 08:14:45,0.3,89.86,0.9277,0.8549,169.86,2.6076,0.3071,69.87,1.152,Danger
2026-04-01 08:14:50,0.2502,103.19,0.1887,0.231,81.54,0.3664,0.2625,94.09,0.6972,Safe
2026-04-01 08:14:55,0.3,272.87,1.0953,0.8374,188.77,2.7741,0.3,265.24,1.5374,Danger
2026-04-01 08:15:00,0.0609,87.17,0.4202,0.0481,73.14,0.3619,0.0659,126.68,0.05,Safe
2026-04-01 08:15:05,0.3471,111.9,0.9601,0.8155,190.49,1.8988,0.4191,77.24,1.3327,Danger
2026-04-01 08:15:10,0.3,259.98,2.5123,0.7516,201.87,3.2561,0.3,268.09,4.6047,Danger
2026-04-01 08:15:15,0.3,72.25,1.3387,0.6857,201.71,3.491,0.3,95.92,0.6352,Danger
2026-04-01 08:15:20,0.2622,251.62,0.4013,0.2473,253.25,0.8607,0.292,282.22,0.1641,Safe
2026-04-01 08:15:25,0.1685,98.09,0.3884,0.2526,107.99,0.6017,0.2598,104.89,0.1732,Safe
2026-04-01 08:15:30,0.2209,101.36,0.05,0.1675,88.52,0.0845,0.2074,85.16,0.4058,Safe
2026-04-01 08:15:35,0.3,267.7,0.672,1.0099,197.39,1.7271,0.323,269.69,1.5627,Danger
2026-04-01 08:15:40,0.1828,123.07,0.3151,0.1969,79.3,0.4461,0.224,86.23,0.502,Safe
2026-04-01 08:15:45,0.3,73.6,0.7357,0.6526,172.0,1.9221,0.3,87.67,1.8756,Danger
2026-04-01 08:15:50,0.2587,118.48,0.3795,0.3173,118.28,0.5672,0.2917,89.42,0.7415,Safe
2026-04-01 08:15:55,0.1867,303.56,0.8249,0.2073,279.57,0.8488,0.1747,256.14,0.6323,Safe
2026-04-01 08:16:00,0.3099,279.04,1.0975,0.8442,201.61,2.4192,0.3,248.95,1.4538,Danger
2026-04-01 08:16:05,0.0703,106.74,0.1978,0.0821,92.25,0.0729,0.0922,82.52,0.8158,Safe
2026-04-01 08:16:10,0.1589,292.31,0.7204,0.1539,264.12,0.1013,0.1889,253.69,0.6919,Safe
2026-04-01 08:16:15,0.3,286.99,1.9045,0.97,194.84,2.4057,0.3378,259.64,1.6012,Danger
2026-04-01 08:16:20,0.2714,281.13,0.2122,0.2564,267.96,0.3215,0.3269,288.67,0.3374,Safe
2026-04-01 08:16:25,0.7791,187.09,2.9624,0.6377,243.69,4.6436,0.6067,214.02,3.8986,Danger
2026-04-01 08:16:30,0.132,291.37,0.4583,0.0971,268.23,0.5945,0.1184,283.69,0.5406,Safe
2026-04-01 08:16:35,0.3035,270.01,0.3087,0.3133,277.53,0.9657,0.2316,276.22,0.6718,Safe
2026-04-01 08:16:40,0.1772,278.44,0.7613,0.182,286.11,0.1739,0.2043,246.76,0.3781,Safe
2026-04-01 08:16:45,0.9587,235.12,4.2327,0.931,218.94,3.1437,0.9867,237.55,3.0895,Danger
2026-04-01 08:16:50,0.2409,283.41,0.6258,0.1895,264.15,0.2699,0.2206,260.62,0.6642,Safe
2026-04-01 08:16:55,0.3,76.01,1.1262,0.8001,187.43,2.481,0.3,69.62,1.5033,Danger
2026-04-01 08:17:00,0.3238,281.41,1.2955,0.9012,174.16,2.7608,0.3,292.31,1.0354,Danger
2026-04-01 08:17:05,0.0104,95.67,0.3269,0.0833,62.96,0.228,0.0706,107.23,0.7458,Safe
2026-04-01 08:17:10,0.5442,39.87,3.1038,0.4877,356.51,4.4952,0.4845,292.04,2.7462,Danger
2026-04-01 08:17:15,0.4106,301.18,2.223,1.2016,191.58,3.9757,0.5032,288.87,3.7348,Danger
2026-04-01 08:17:20,0.2293,77.92,0.6677,0.1969,67.97,0.3347,0.2162,49.31,0.7809,Safe
2026-04-01 08:17:25,0.346,298.37,1.2995,1.3852,174.96,2.0001,0.4462,274.97,1.4603,Danger
2026-04-01 08:17:30,0.6919,199.31,2.8443,0.382,124.83,4.8877,0.6221,197.11,4.6259,Danger
2026-04-01 08:17:35,0.3,252.33,1.3437,0.7259,189.93,2.6184,0.3,289.88,1.449,Danger
2026-04-01 08:17:40,0.1438,100.17,0.1252,0.1285,116.88,0.8585,0.1277,93.23,0.3673,Safe
2026-04-01 08:17:45,0.3343,294.55,1.5093,0.4899,183.05,2.1445,0.3,284.54,1.1902,Danger
2026-04-01 08:17:50,0.1935,62.36,0.6477,0.1808,125.59,0.203,0.1465,117.26,0.5594,Safe
2026-04-01 08:17:55,0.0993,287.46,1.0247,0.0633,297.69,0.5459,0.0946,285.15,0.5622,Safe
2026-04-01 08:18:00,0.1747,93.32,0.4958,0.2042,78.73,0.8653,0.2004,140.79,0.8428,Safe
2026-04-01 08:18:05,0.2552,79.88,0.772,0.2086,56.2,0.2806,0.2186,86.46,0.1098,Safe
2026-04-01 08:18:10,0.3,280.19,0.8661,0.8414,175.61,1.4353,0.3,283.48,1.1616,Danger
2026-04-01 08:18:15,0.3,108.76,1.7685,0.9315,188.79,2.4,0.3,100.7,0.8868,Danger
2026-04-01 08:18:20,0.0301,94.91,0.6581,0.0276,111.11,0.8358,0.0855,89.56,0.4892,Safe
2026-04-01 08:18:25,0.4338,87.69,1.847,1.2894,171.7,3.0802,0.4119,107.8,1.5942,Danger
2026-04-01 08:18:30,0.1037,73.05,0.7665,0.1224,80.98,0.3669,0.1362,126.17,0.2638,Safe
2026-04-01 08:18:35,1.3967,324.71,5.0155,1.3694,289.0,2.5297,1.1412,308.3,4.47,Danger
2026-04-01 08:18:40,0.3274,279.01,0.921,0.2795,258.53,0.5867,0.3022,278.76,0.2838,Safe
2026-04-01 08:18:45,0.1324,96.77,0.3893,0.1369,70.15,0.2884,0.1536,90.41,0.2051,Safe
2026-04-01 08:18:50,0.189,264.87,0.5949,0.1728,221.94,0.924,0.2088,278.48,0.1675,Safe
2026-04-01 08:18:55,0.6408,107.7,5.0414,0.8639,32.28,4.6134,0.7767,199.15,4.0454,Danger
2026-04-01 08:19:00,0.1595,271.87,0.7635,0.193,277.84,0.3883,0.1196,252.7,0.4197,Safe
2026-04-01 08:19:05,0.2574,264.77,0.4965,0.2549,289.59,0.7094,0.2745,243.3,0.6256,Safe
2026-04-01 08:19:10,0.0889,275.34,0.6463,0.0784,272.79,0.3607,0.1217,261.76,0.7139,Safe
2026-04-01 08:19:15,0.3,96.76,1.1705,0.6681,170.3,1.9964,0.3,98.6,1.7252,Danger
2026-04-01 08:19:20,0.3,287.53,1.2695,0.901,197.88,1.8592,0.3,284.62,0.8431,Danger
2026-04-01 08:19:25,0.0914,105.15,0.1844,0.1351,114.77,0.2585,0.082,116.22,0.6978,Safe
2026-04-01 08:19:30,0.0867,68.05,0.6756,0.1558,82.77,0.05,0.2203,118.71,0.5156,Safe
2026-04-01 08:19:35,0.264,267.36,0.351,0.2719,281.15,0.3905,0.3127,292.6,0.5112,Safe
2026-04-01 08:19:40,0.0663,254.37,0.907,0.1616,287.28,0.5294,0.1013,267.94,0.2064,Safe
